subject,electrode,model,n_windows,mean_R2
5,electrode_49,BERT,1,0.13748472929000854
5,electrode_49,T5,2,0.16150593757629395
6,electrode_27,T5,3,0.19821137189865112
6,electrode_28,T5,2,0.11293259263038635
6,electrode_3,GPT,4,0.13168483972549438
6,electrode_38,T5,1,0.1582513451576233
6,electrode_4,BERT,1,0.10052579641342163
8,electrode_170,GPT,1,0.10379892587661743
8,electrode_28,BERT,1,0.1573687195777893
8,electrode_28,GPT,7,0.1400453703744071
8,electrode_28,T5,1,0.10055601596832275
8,electrode_46,T5,2,0.13722163438796997
8,electrode_6,T5,1,0.1339455246925354
9,electrode_11,BERT,1,0.10336536169052124
9,electrode_16,BERT,1,0.10070544481277466
9,electrode_30,T5,3,0.1317895452181498
9,electrode_35,T5,1,0.10761457681655884
9,electrode_36,BERT,2,0.1453668475151062
9,electrode_36,T5,9,0.12790102428860134
9,electrode_53,BERT,1,0.10691303014755249
10,electrode_48,T5,1,0.11222320795059204
11,electrode_67,T5,2,0.1516498625278473
11,electrode_96,T5,1,0.2001137137413025
12,electrode_120,GPT,3,0.13732328017552695
12,electrode_27,T5,1,0.10589128732681274
12,electrode_5,BERT,1,0.11181128025054932
13,electrode_44,GPT,2,0.13909316062927246
13,electrode_5,GPT,4,0.11053992807865143
14,electrode_110,GPT,4,0.1329904943704605
14,electrode_77,T5,1,0.11542898416519165
14,electrode_82,BERT,1,0.12667196989059448
15,electrode_151,BERT,1,0.11608517169952393
17,electrode_7,GPT,3,0.2617207169532776
