comparison,layer1,layer2,mean_diff,p_value,p_corrected,significant
early vs middle,early,middle,0.008115775099859002,0.8883587001234061,5.330152200740437,False
early vs late,early,late,-0.007789513781746166,0.7239320396139757,4.343592237683854,False
early vs last,early,last,0.00075746238460353,0.9025232501776794,5.4151395010660766,False
middle vs late,middle,late,-0.015905288881605167,0.6729740847387906,4.037844508432744,False
middle vs last,middle,last,-0.007358312715255472,0.8967503085150144,5.380501851090086,False
late vs last,late,last,0.008546976166349696,0.7750513736700824,4.650308242020494,False
