comparison,layer1,layer2,mean_diff,p_value,p_corrected,significant
late vs early,late,early,0.030229194957634264,0.05971911692859834,0.35831470157159007,False
late vs middle,late,middle,0.008923879083037628,0.7565672012945115,4.539403207767069,False
late vs last,late,last,0.014375475825078976,0.6739982099878661,4.043989259927196,False
early vs middle,early,middle,-0.021305315874596636,0.12567200705500448,0.7540320423300269,False
early vs last,early,last,-0.01585371913255529,0.1379134594125095,0.8274807564750569,False
middle vs last,middle,last,0.005451596742041348,0.9118527704321069,5.471116622592641,False
