comparison,layer1,layer2,mean_diff,p_value,p_corrected,significant
early vs middle,early,middle,0.0049885685389995105,0.8053241706182483,4.8319450237094905,False
early vs late,early,late,0.0010782721464288048,0.9038924611680029,5.423354767008018,False
early vs last,early,last,-0.0034323376826560503,0.923076923076923,5.538461538461538,False
middle vs late,middle,late,-0.003910296392570706,0.965400612459436,5.792403674756616,False
middle vs last,middle,last,-0.00842090622165556,1.0,6.0,False
late vs last,late,last,-0.004510609829084855,1.0,6.0,False
