comparison,layer1,layer2,mean_diff,p_value,significant,bonferroni_alpha
early vs middle,early,middle,0.006337987278702412,0.7790967820689843,False,0.020412414523193152
early vs late,early,late,0.004375626107163688,0.7955628201054925,False,0.020412414523193152
early vs last,early,last,0.011787835026159016,0.603336495888678,False,0.020412414523193152
middle vs late,middle,late,-0.0019623611715387235,0.99305539398114,False,0.020412414523193152
middle vs last,middle,last,0.005449847747456604,0.8730192956948175,False,0.020412414523193152
late vs last,late,last,0.007412208918995328,0.8888552060965856,False,0.020412414523193152
