comparison,layer1,layer2,mean_diff,p_value,significant,bonferroni_alpha
early vs middle,early,middle,0.017248597212174005,0.28706335118056026,False,0.020412414523193152
early vs late,early,late,0.006809429226184327,0.6368114983028872,False,0.020412414523193152
early vs last,early,last,0.014388156242459899,0.4142305637788044,False,0.020412414523193152
middle vs late,middle,late,-0.010439167985989678,0.5974913149578003,False,0.020412414523193152
middle vs last,middle,last,-0.0028604409697141064,0.8011061955529353,False,0.020412414523193152
late vs last,late,last,0.0075787270162755715,0.7446947221966324,False,0.020412414523193152
