comparison,layer1,layer2,mean_diff,p_value,significant,bonferroni_alpha
late vs early,late,early,0.022998051441090156,0.19602095196711,False,0.020412414523193152
late vs middle,late,middle,0.0028886615045743413,0.97629210527975,False,0.020412414523193152
late vs last,late,last,0.006832079547157199,0.9394100038249268,False,0.020412414523193152
early vs middle,early,middle,-0.020109389936515815,0.14083100831374382,False,0.020412414523193152
early vs last,early,last,-0.016165971893932957,0.1248387137081717,False,0.020412414523193152
middle vs last,middle,last,0.003943418042582858,1.0,False,0.020412414523193152
