condition,layer,model,n_subjects,n_subjects_with_signal,pct_subjects_with_signal,total_electrodes,total_significant,pct_electrodes_significant,mean_r2_across_subjects,std_r2_across_subjects,mean_significant_per_subject,subjects_with_signal
overall,last,GPT,8,0,0.0,1206,0,0.0,-2.99684720007927,6.2098253977182045,0.0,[]
overall,last,T5,8,0,0.0,1206,0,0.0,-0.06234390736325393,0.1037679649645725,0.0,[]
overall,late,BERT,8,0,0.0,1206,0,0.0,-0.49213339058018724,0.7852796661548408,0.0,[]
overall,late,GPT,8,0,0.0,1206,0,0.0,-9.157132416124032,22.75175765869244,0.0,[]
overall,late,T5,8,0,0.0,1206,0,0.0,-22.994110483751765,37.84716921086698,0.0,[]
overall,middle,BERT,8,0,0.0,1206,0,0.0,-0.3637618140790953,0.5820203538647054,0.0,[]
overall,middle,GPT,8,0,0.0,1206,0,0.0,-7.443010156645331,18.121027090978615,0.0,[]
overall,middle,T5,8,0,0.0,1206,0,0.0,-7.598940100181862,18.274420948056395,0.0,[]
v,early,BERT,8,0,0.0,1206,0,0.0,-43242507409385.484,122308280898728.55,0.0,[]
v,early,GPT,8,0,0.0,1206,0,0.0,-289099001790942.9,817695458402414.8,0.0,[]
v,early,T5,8,0,0.0,1206,0,0.0,-2531121121995052.0,7159091637468641.0,0.0,[]
v,last,BERT,8,0,0.0,1206,0,0.0,-32732167669466.055,92580550888037.31,0.0,[]
v,last,GPT,8,0,0.0,1206,0,0.0,-220961893987168.97,624974614488452.9,0.0,[]
v,last,T5,8,0,0.0,1206,0,0.0,-8706896394105.482,24626821933436.234,0.0,[]
v,late,BERT,8,0,0.0,1206,0,0.0,-75158649188309.73,212580762023458.62,0.0,[]
v,late,GPT,8,0,0.0,1206,0,0.0,-306990947919518.7,868301524146930.0,0.0,[]
v,late,T5,8,0,0.0,1206,0,0.0,-1997335485435665.5,5649317864224041.0,0.0,[]
v,middle,BERT,8,0,0.0,1206,0,0.0,-60366108942675.56,170741139948808.75,0.0,[]
v,middle,GPT,8,0,0.0,1206,0,0.0,-321990863502762.5,910727692251474.8,0.0,[]
v,middle,T5,8,0,0.0,1206,0,0.0,-2039172590067224.8,5767651065784891.0,0.0,[]
