time_window,count,mean,std,min,25%,50%,75%,max
W2,83.0,0.15972210125750805,0.05150767055492335,0.10166192054748535,0.12317898869514465,0.1452891230583191,0.183820903301239,0.3697775602340698
W3,112.0,0.1464717457337039,0.04554657230339803,0.10055601596832275,0.11222319304943085,0.13291501998901367,0.16816547513008118,0.35087400674819946
W4,106.0,0.15107839399913572,0.049130010224589155,0.10047107934951782,0.11244122684001923,0.13657298684120178,0.17731502652168274,0.32750004529953003
full_consolidation,95.0,0.14724984419973272,0.05011673123890972,0.10015946626663208,0.11260756850242615,0.13055747747421265,0.15909427404403687,0.4136754870414734
